bank_id,bank_name,quarter_end_date,total_assets,total_loans,allowance_for_credit_losses,noncurrent_loans,net_charge_offs,deposits,tier1_capital,risk_weighted_assets,total_equity_capital,net_income,nco_ratio,nco_ratio_next_q,high_risk_next_q,reserve_coverage_ratio,npa_ratio,capital_ratio,equity_to_assets,roa,total_loans_lag1,deposits_lag1,nco_ratio_lag1,npa_ratio_lag1,loan_growth_qoq,deposit_growth_qoq,coralacbn
10122,FARMERS SAVINGS BANK&TRUST,2025-12-31,212505,114658,0.6343703960481845,0.02686541294739579,-8.9907682791309e-4,192614,17.90290137515947,17.90290137515947,14923,2816,-8.9907682791309e-4,NA,0,0.6343703960481845,0.02686541294739579,17.90290137515947,0.07022423001811721,0.013251452906990424,NA,NA,NA,NA,NA,NA,0.61
10125,CITIZENS SAVINGS BANK,2025-12-31,159742,70862,0.9878578714247788,0,-0.00746368915227418,144430,17.09104728812639,17.09104728812639,12331,1457,-0.00746368915227418,NA,0,0.9878578714247788,0,17.09104728812639,0.07719322407381904,0.009120957544039764,NA,NA,NA,NA,NA,NA,0.61
10127,SUCCESS BANK,2025-12-31,269686,213412,0.913733865725694,0.36447209583062495,-0.06495631086646907,224411,0,0,32586,4641,-0.06495631086646907,NA,0,0.913733865725694,0.36447209583062495,0,0.12082940901641168,0.017208902204786308,NA,NA,NA,NA,NA,NA,0.61
10132,EXCHANGE STATE BANK,2025-12-31,146278,123645,0.7919314461775467,0.3482251749149496,-0.18670153974834292,115847,0,0,14479,2686,-0.18670153974834292,NA,0,0.7919314461775467,0.3482251749149496,0,0.09898275885642407,0.018362296449226816,NA,NA,NA,NA,NA,NA,0.61
10137,COMMERCIAL BANK OF GRAYSON,2025-12-31,244877,147015,1.4420176179558344,2.518670474504914,0.04091390759184831,217012,18.7562168992123,18.7562168992123,26055,2434,0.04091390759184831,NA,0,1.4420176179558344,2.518670474504914,18.7562168992123,0.10640035609714264,0.009939684004622728,NA,NA,NA,NA,NA,NA,0.61
1014,CHOICEONE BANK,2025-12-31,4407418,2993668,1.173570208548873,0.8932008194854248,0.03885974574345394,3602337,11.448887623813294,11.448887623813294,506677,31643,0.03885974574345394,NA,0,1.173570208548873,0.8932008194854248,11.448887623813294,0.11496005144054863,0.007179486946779271,NA,NA,NA,NA,NA,NA,0.61
10145,HART COUNTY BANK&TRUST CO,2025-12-31,23377,17889,5.3642279003332805,0,0,15627,37.29034849854374,37.29034849854374,7426,524,0,NA,0,5.3642279003332805,0,37.29034849854374,0.3176626598793686,0.022415194421867648,NA,NA,NA,NA,NA,NA,0.61
10157,SHELBY STATE BANK,2025-12-31,385777,213815,1.1470392425195102,0.12945223212634538,0.01476302956415726,337346,13.746259440459792,13.746259440459792,31636,3026,0.01476302956415726,NA,0,1.1470392425195102,0.12945223212634538,13.746259440459792,0.08200592570319122,0.007843909823550911,NA,NA,NA,NA,NA,NA,0.61
10159,FIRST STATE BANK&TRUST,2025-12-31,473210,298547,1.260426381971041,0,-0.00231481328385364,430370,14.491505659903488,14.491505659903488,38804,7373,-0.00231481328385364,NA,0,1.260426381971041,0,14.491505659903488,0.08200164831681495,0.015580820354599437,NA,NA,NA,NA,NA,NA,0.61
10160,VERSABANK USA NATIONAL ASSN,2025-12-31,747739,387562,0.06497960362441789,0.025011990284002118,0.1742804396348576,531541,43.87122498636876,43.87122498636876,182655,3277,0.1742804396348576,NA,0,0.06497960362441789,0.025011990284002118,43.87122498636876,0.24427641195657843,0.0043825452464028225,NA,NA,NA,NA,NA,NA,0.61
10162,FIRST STATE BANK MINNESOTA,2025-12-31,109350,80038,1.5122989651396015,1.0114806748126546,-0.2751726425620458,96343,0,0,11575,1675,-0.2751726425620458,NA,0,1.5122989651396015,1.0114806748126546,0,0.1058527663465935,0.015317786922725195,NA,NA,NA,NA,NA,NA,0.61
10163,SECURITY STB OF MARINE,2025-12-31,232117,172431,1.3242152851297606,0.13219262353715414,-0.06374880397886112,205760,15.701517176806846,15.701517176806846,25452,4787,-0.06374880397886112,NA,0,1.3242152851297606,0.13219262353715414,15.701517176806846,0.10965159811646713,0.020623220186371527,NA,NA,NA,NA,NA,NA,0.61
10165,FARMERS&MERCHANTS STB PIERZ,2025-12-31,342395,210739,1.448306178566752,1.3935913503806656,-0.00141090554739843,314130,0,0,26711,4562,-0.00141090554739843,NA,0,1.448306178566752,1.3935913503806656,0,0.07801223732823201,0.013323792695570906,NA,NA,NA,NA,NA,NA,0.61
10167,CITIZENS STB OF ROSEAU,2025-12-31,286519,161450,1.0723039215686274,0.31066176470588236,0.28694458879263807,251314,0,0,33852,4121,0.28694458879263807,NA,0,1.0723039215686274,0.31066176470588236,0,0.11814923268613949,0.014382990307798087,NA,NA,NA,NA,NA,NA,0.61
10168,FIRST FARMERS&MERCHANTS BANK,2025-12-31,489579,290855,1.003393430291726,0.00816873891689329,-0.00276099705125514,441770,13.595636813336895,13.595636813336895,42193,4821,-0.00276099705125514,NA,0,1.003393430291726,0.00816873891689329,13.595636813336895,0.08618220961274892,0.009847236094685434,NA,NA,NA,NA,NA,NA,0.61
10169,SHERBURNE STATE BANK,2025-12-31,337420,261208,1.3702768117747897,0.290367282517171,0.04984096578500767,278896,10.241174299348785,10.241174299348785,28780,5614,0.04984096578500767,NA,0,1.3702768117747897,0.290367282517171,10.241174299348785,0.08529429198032126,0.016638017900539388,NA,NA,NA,NA,NA,NA,0.61
10174,FARMERS STB OF UNDERWOOD,2025-12-31,113514,85448,1.2413027900418392,0,0.01867836845696753,99727,11.428605702906635,11.428605702906635,8802,1619,0.01867836845696753,NA,0,1.2413027900418392,0,11.428605702906635,0.07754109625244464,0.014262557922370809,NA,NA,NA,NA,NA,NA,0.61
10175,SECURITY STB OF HIBBING,2025-12-31,151305,93119,1.904621445953206,2.011018993542406,0.04432624113475177,136180,16.340211486859204,16.340211486859204,14159,1214,0.04432624113475177,NA,0,1.904621445953206,2.011018993542406,16.340211486859204,0.09357919434255312,0.008023528634215658,NA,NA,NA,NA,NA,NA,0.61
10178,PRODUCE STATE BANK,2025-12-31,113586,57169,1.03519310332889,1.563176207869545,-0.00728621339133159,101054,20.015127503241608,20.015127503241608,12119,1498,-0.00728621339133159,NA,0,1.03519310332889,1.563176207869545,20.015127503241608,0.1066944869966369,0.013188245030197384,NA,NA,NA,NA,NA,NA,0.61
10185,ELYSIAN BANK,2025-12-31,76548,54934,1.3504291922565814,0.40584707107711093,0.12859137335586743,67207,14.592049377217124,14.592049377217124,9068,1340,0.12859137335586743,NA,0,1.3504291922565814,0.40584707107711093,14.592049377217124,0.11846161885352981,0.017505356116423683,NA,NA,NA,NA,NA,NA,0.61
10187,NORTHERN STB OF GONVICK,2025-12-31,54598,17501,3.2398960579421683,0.7850942666003207,0.02334376021289509,46388,46.52611403929085,46.52611403929085,7977,656,0.02334376021289509,NA,0,3.2398960579421683,0.7850942666003207,46.52611403929085,0.14610425290303675,0.012015092127916774,NA,NA,NA,NA,NA,NA,0.61
10191,PRINSBANK,2025-12-31,210104,136937,8.358596505316978,0.6718999913000998,-0.6677714106924543,181308,16.01541576850219,16.01541576850219,24663,4104,-0.6677714106924543,NA,0,8.358596505316978,0.6718999913000998,16.01541576850219,0.11738472375585424,0.019533183566233864,NA,NA,NA,NA,NA,NA,0.61
10194,PINE RIVER STATE BANK,2025-12-31,188292,98882,1.1753183153770812,0.01998840672410002,0.0196810489211833,172496,16.931973088254697,16.931973088254697,15360,1700,0.0196810489211833,NA,0,1.1753183153770812,0.01998840672410002,16.931973088254697,0.08157542540309731,0.00902853015529072,NA,NA,NA,NA,NA,NA,0.61
10197,HOMETOWN COMMUNITY BANK,2025-12-31,105034,86735,1.153315782875768,1.3333789189373997,-0.04576284249874754,94392,0,0,8927,1249,-0.04576284249874754,NA,0,1.153315782875768,1.3333789189373997,0,0.08499152655330655,0.011891387550697869,NA,NA,NA,NA,NA,NA,0.61
10200,STATE BANK OF JEFFERS,2025-12-31,37682,19747,1.274872512748725,0,0.00499635266255633,32337,19.03664525878353,19.03664525878353,5039,599,0.00499635266255633,NA,0,1.274872512748725,0,19.03664525878353,0.13372432461122022,0.01589618385436017,NA,NA,NA,NA,NA,NA,0.61
10202,LOWRY STATE BANK,2025-12-31,87633,78727,1.3273005289148472,2.4139573358734614,0.25262419830484006,71758,11.595840544676957,11.595840544676957,8097,1224,0.25262419830484006,NA,0,1.3273005289148472,2.4139573358734614,11.595840544676957,0.09239669987333539,0.013967341070144808,NA,NA,NA,NA,NA,NA,0.61
10212,COMMERCE BANK,2025-12-31,229767,192773,1.6970846655549945,0.7975482022019266,-0.01132484987188148,165086,15.960091983617364,15.960091983617364,28720,2470,-0.01132484987188148,NA,0,1.6970846655549945,0.7975482022019266,15.960091983617364,0.12499619179429595,0.01075002067311668,NA,NA,NA,NA,NA,NA,0.61
10214,VERMILLION STATE BANK,2025-12-31,931245,408493,1.5392439723389229,0.3408222638407825,-0.00587822377712126,808694,0,0,119216,20289,-0.00587822377712126,NA,0,1.5392439723389229,0.3408222638407825,0,0.12801786855231437,0.021786962614564375,NA,NA,NA,NA,NA,NA,0.61
10218,CITIZENS BANK&TRUST CO,2025-12-31,322185,162636,1.3214896792748188,0.4210807334328394,0,293543,13.754836751726057,13.754836751726057,16090,3610,0,NA,0,1.3214896792748188,0.4210807334328394,13.754836751726057,0.04994025171873303,0.01120474261681953,NA,NA,NA,NA,NA,NA,0.61
1022,CLARE BANK NATIONAL ASSN,2025-12-31,349308,171135,0.47629017062702816,0.6908824453051398,0.01112686730468947,289716,24.474682326358067,24.474682326358067,29930,2424,0.01112686730468947,NA,0,0.47629017062702816,0.6908824453051398,24.474682326358067,0.08568369461907543,0.006939434539145969,NA,NA,NA,NA,NA,NA,0.61
10236,GOOSE RIVER BANK,2025-12-31,178390,128063,0.9214415027774768,2.762777167437758,0.13226439652866082,152505,0,0,19669,2329,0.13226439652866082,NA,0,0.9214415027774768,2.762777167437758,0,0.11025842255731824,0.01305566455518807,NA,NA,NA,NA,NA,NA,0.61
10243,FIRST STATE BANK OF GOLVA,2025-12-31,116970,45745,0.8968998461838428,2.942004809462943,0,108508,17.235463792318203,17.235463792318203,8103,2840,0,NA,0,0.8968998461838428,2.942004809462943,17.235463792318203,0.06927417286483714,0.02427972984525947,NA,NA,NA,NA,NA,NA,0.61
10248,FIRST INTERNATIONAL B&T,2025-12-31,6161111,4677738,1.094491555347688,1.8450145491005183,0.03690857804712152,5455407,10.97431292818699,10.97431292818699,510926,95774,0.03690857804712152,NA,0,1.094491555347688,1.8450145491005183,10.97431292818699,0.08292757588688145,0.015544923634714583,NA,NA,NA,NA,NA,NA,0.61
