bank_id,bank_name,quarter_end_date,total_assets,total_loans,allowance_for_credit_losses,noncurrent_loans,net_charge_offs,deposits,tier1_capital,risk_weighted_assets,total_equity_capital,net_income
8867,ULTIMA BANK MINNESOTA,2025-12-31,317207,289467,0.9136155763069256,0.20880685708026395,-0.01389544097529321,277648,0,0,35767,6599
8870,BANKFIRST FINANCIAL SERVICES,2025-12-31,3256725,2175985,1.306607921922829,0.6673188820900647,0.167746917814299,2804646,0,0,422241,30809
8879,COMMUNITY BANK OF MS,2025-12-31,5015100,3306019,1.0996838259424269,0.2039620327876895,0.04959626022349342,4565516,13.28153518079429,13.28153518079429,413982,43198
8889,MIDWEST REGIONAL BANK,2025-12-31,1049767,837907,1.9778571712676676,5.62169080057182,0.35812709149800465,908950,11.578552990446193,11.578552990446193,111696,2330
8892,SULLIVAN BANK,2025-12-31,1304809,1110907,1.1538649760871984,1.746190635079524,2.8134555198309e-4,1156640,11.524002654595844,11.524002654595844,113494,14178
8893,AMERICAS COMMUNITY BANK,2025-12-31,61756,56894,1.2753995384268335,0,-0.04176179074558717,46532,0,0,5542,931
8896,JONESBURG STATE BANK,2025-12-31,139209,103170,1.055902408147999,0,0.00585303040649296,122154,14.451341675698757,14.451341675698757,13146,3248
8898,ST JOHNS BANK&TRUST CO,2025-12-31,305144,222454,1.5916691734645123,1.9314140109355369,0.129271302906246,268552,0,0,35861,2670
8903,PEOPLES BANK&TRUST CO,2025-12-31,914428,488070,1.3960160006464908,1.2281304295123034,0.01079995934132953,807940,12.389722769429664,12.389722769429664,76544,12498
8904,NODAWAY VALLEY BANK,2025-12-31,1538518,1020132,1.20954231073907,0.00406731601689679,0.0548638304023361,1306020,14.84929812885084,14.84929812885084,143526,33141
8941,BANK FORWARD,2025-12-31,1135353,863496,0.7179156989445121,0.6769839262308276,-0.01826190664606973,925563,0,0,121849,18472
8942,STOCK GROWERS BANK,2025-12-31,331900,157595,0.6875212684168736,0.34659642312491334,0.009532549207019,299460,0,0,29327,3952
8943,MERCHANTS BANK,2025-12-31,269474,191866,1.1519716437749226,1.123120833376266,0.0502542114633064,238722,12.891684863263194,12.891684863263194,25475,3546
8946,KINDRED STATE BANK,2025-12-31,42945,21518,0.8021390374331552,0.23049972340033192,-0.00454004776130244,38923,15.992363311398163,15.992363311398163,3952,568
8975,COMMUNITY BANK,2025-12-31,111369,92592,1.1350168170412684,0.20073674656985743,0.04381165929357632,100495,13.365817091454272,13.365817091454272,10640,2743
8980,SECURITY STB OF OKLAHOMA,2025-12-31,394838,192318,1.6432176994952208,1.309255309899709,0.5996811821563219,319858,18.16719854304857,18.16719854304857,42329,9007
9005,FIRST STATE BANK OF ROSCOE,2025-12-31,146777,72811,1.289281743987419,0,-0.03670682665405039,125028,23.794598670877125,23.794598670877125,20181,2463
9007,HEARTLAND STATE BANK,2025-12-31,154728,115251,0.8294970528761347,0,-0.01021323375120934,124870,10.733595697419451,10.733595697419451,14058,3747
9023,POTOMAC BANK,2025-12-31,943040,746612,1.033393071123318,0.00238597681890966,0.01066808178315619,813138,12.649665390947382,12.649665390947382,90910,9590
9024,CALHOUN COUNTY BANK INC,2025-12-31,212950,137602,1.3704717806098312,0.6752010550912453,0.05813277525869084,190632,0,0,20706,1975
9030,HARRISON COUNTY BANK,2025-12-31,158337,81071,1.048455999023557,0.43207616257781034,0.07375077075600585,143844,0,0,13859,1347
9035,HEADWATERS STATE BANK,2025-12-31,117440,78151,1.0546439785272963,6.187329079307202,0.00783453462864305,98063,0,0,19051,993
9036,SECURITY STATE BANK,2025-12-31,139235,83661,1.8305347273559336,0.5749756515412868,0.00124303280114955,109031,30.06041975832097,30.06041975832097,27786,2517
